Month/Week,Content Type,Content Piece,B-Roll,On-Screen Text / Copy,Notes,Example Link,Audio,Caption Hook/Info,Format,Content Pillar,Status,Feedback
March W3,Reel,Reel 7,Show screenshots of discounts,"The medspa down the street just dropped their Botox price again? This means you have an advantage.
That's a sign they're running out of options. Our clients compete differently:
-> Automate post-visit messages to existing patients
-> Give VIP early access to new treatments. No discount. Just exclusivity.
-> Advertise a Membership Offer: 2 treatments/month, 12% off, 6-month commitment.
-> A 'Silent sale': market a discount to existing patients only (bonus: target your top 50 patients as a reward)
What you NEVER do: post a public discount on social, run a Groupon, or match a competitor's price.",,,,,,Portfolio + Results,In Review,
March W3,Reel,Reel 8,,"You didn't hear it from us, but your Google Business Profile is probably costing you 20+ patients a month and you don't even know it.
You didn't hear it from us — but running one ad for your entire treatment menu is why nothing converts.
You didn't hear it from us — but your Google ad is probably sending traffic to your homepage — and that's why it's not converting.
You didn't hear it from us — but spreading $1,500/month across Meta, Google, and SEO is why none of them are working.
You didn't hear it from us — but only running offer-based ads are attracting the exact patients you don't want long-term.","Different options, viral hook, ""how much to spend on ads"" is a highly search topic",,,,,Trendy / Relatable / Entertaining,In Review,
March W3,Reel,Reel 9,Chris B-Roll,"I built my marketing agency off of one thing my dad taught me early on: keep it simple, fast, and easy.
This is the foundation of everything we do at Medstar Media.",,,,,,BTS / Agency Life,In Review,
March W3,Carousel,Carousel 3,,"Our Most Creative Web Designs

Slide 2: Name of website / Client Name / Location / Theme
Slide 3: Name of website / Client Name / Location / Theme
Slide 4: Name of website / Client Name / Location / Theme
Slide 5: Think your current website could do better? So do we. www.medstarmedia.com",Let me know if you want to use any websites in particular,,,,,Portfolio / Showing Off Work,In Review,
March W3,Story,Story 5,,"Our Most Creative Web Designs

Slide 2: Name of website / Client Name / Location / Theme
Slide 3: Name of website / Client Name / Location / Theme
Slide 4: Name of website / Client Name / Location / Theme
Slide 5: Think your current website could do better? So do we. www.medstarmedia.com",,,,,,,In Review,
March W4,Reel,Reel 10,Screenshots of recent organic SEO growth,Month 1 vs. Month 6 with Medstar,,,,Here's exactly what we did:,,Proof Only,In Review,
March W4,Reel,Reel 11,Screenshots of clients ranking #1 on Google + website article/keywords ongoing,"Nobody talks about how your medspa could be fully booked from Google alone. Here's how to rank #1:
Pop-up: -> We optimize every service page with the exact keywords patients type when they're ready to book
Pop-up: -> We fix the technical stuff that silently tanks rankings: slow load times, broken mobile experience, missing title tags, zero internal linking.
Pop-up: -> We write 1,000-2,000 word articles answering the highest search questions
Pop-up: -> We track everything in Google Search Console so you always know exactly which keywords are driving real patient traffic.",,,,"Most aesthetic practices are invisible on Google — and don't know it until they check.

SEO for medspas and plastic surgeons isn't about blogging and hoping. It's about ranking service pages, writing authoritative content, optimizing your Google Business Profile, fixing technical issues, and building internal links.

SEO compounds. Every article we write, every page we optimize, every backlink we earn — keeps working for your practice 24/7 without additional spend.

#medspamarketing #medspaseo #plasticsurgeonseo #localseotips #aestheticmarketing",,Education + Proof,In Review,
March W4,Reel,Reel 12,Isis on camera + team member photo with their Slack message,I'm the social media manager. I asked them to film for me. I got no reply. So here's their last Slack message instead.,,,,My social media managers understand. 😅,,Team / Community Highlight,In Review,
March W4,Carousel,Carousel 4,,"Slide 1: They were spending money on marketing. Not seeing the return. 9 months later, their most successful CoolSculpting month ever. Here's exactly what we did ->

Slide 2: *May use the video or just quote* Joe Moran — Dr. Renee Moran Medical Aesthetics, Newton, Massachusetts: 'We worked with a previous firm and weren't getting the return on investment. Medstar helped us optimize our close ratios — and in July 2020 we crossed our most successful CoolSculpting month ever.'

Slide 3: Here's what we looked at first: -> Cost per acquired CoolSculpting patient -> % of consultations closing into treatments -> Which campaign drove the last 10 bookings. Most practices we audit can't answer a single one.

Slide 4: Step 1: Fixed their conversion system -> pre-consultation email sequence -> 5-minute lead follow-up -> conversion tracking tied to actual bookings

Slide 5: Step 2: Built the acquisition layer -> CoolSculpting + CoolTone campaigns -> before/after creative -> retargeting throughout the research cycle

Slide 6: 9 months in: close ratios up, lead-to-book rate climbed, ad spend had a clear trackable return. Most successful CoolSculpting month in the history of the practice.

Slide 7: If your current marketing spend doesn't have a clear answer for what it's producing — that's the problem. www.medstarmedia.com",,,,,,Educational + Case Study,In Review,
March W4,Story,Story 6,,Marketing Guide: Invisalign,,,,,,Educational + Case Study,In Review,
